type,value
gene_std,0.705622136592865
gene_std,0.7051635384559631
gene_std,0.7722297310829163
gene_std,0.7416857481002808
gene_std,0.7775488495826721
gene_std,0.7346770763397217
gene_std,0.791140079498291
gene_std,0.7429359555244446
gene_std,0.7322477102279663
gene_std,0.8164879679679871
gene_std,0.7603037357330322
gene_std,0.7026047110557556
gene_std,0.733533501625061
gene_std,0.6995677947998047
gene_std,0.7422183156013489
gene_std,0.6731894612312317
gene_std,0.7667503356933594
gene_std,0.7425031661987305
gene_std,0.7874864935874939
gene_std,0.7288227081298828
gene_std,0.7567673325538635
gene_std,0.7852497100830078
gene_std,0.7001152038574219
gene_std,0.8632593154907227
gene_std,0.7645746469497681
gene_std,0.6963515281677246
gene_std,0.786505937576294
gene_std,0.7743064761161804
gene_std,0.7363736629486084
gene_std,0.8092519640922546
gene_std,0.6674690246582031
gene_std,0.7970364093780518
gene_std,0.9484437108039856
gene_std,0.6703665852546692
gene_std,0.7973293662071228
gene_std,0.7122908234596252
gene_std,0.7381210923194885
gene_std,0.7103287577629089
gene_std,0.6971076726913452
gene_std,0.7629563808441162
gene_std,0.7388643026351929
gene_std,0.7285045981407166
gene_std,0.6858128905296326
gene_std,0.7180883884429932
gene_std,0.8099979162216187
gene_std,0.9695927500724792
gene_std,0.6644927859306335
gene_std,0.6713916063308716
gene_std,0.7156944274902344
gene_std,0.7612115144729614
gene_std,0.7982109189033508
gene_std,0.6793037056922913
gene_std,0.7766159176826477
gene_std,0.7006769776344299
gene_std,0.8126574754714966
gene_std,0.6900768876075745
gene_std,0.7397167682647705
gene_std,0.7673053741455078
gene_std,0.7612466812133789
gene_std,0.7240198254585266
gene_std,0.6900348663330078
gene_std,0.7063498497009277
gene_std,0.7342591881752014
gene_std,0.7437998652458191
gene_std,0.7093004584312439
gene_std,0.6951271891593933
gene_std,0.8174788355827332
gene_std,0.8082075715065002
